map,problem,algorithm,heuristic,found,path_length,cost,nodes_expanded,nodes_generated,max_frontier,time_ms
tiny,path_to_farthest,bfs,-,True,4,4.0,6,7,2,0.109
tiny,path_to_farthest,dfs,-,True,4,4.0,5,5,2,0.057
tiny,path_to_farthest,ucs,-,True,4,4.0,8,7,2,0.084
tiny,path_to_farthest,greedy,manhattan,True,4,4.0,5,5,2,0.059
tiny,path_to_farthest,astar,manhattan,True,4,4.0,8,7,2,0.085
tiny,eat_all,bfs,-,True,7,7.0,41,57,17,0.449
tiny,eat_all,dfs,-,True,9,9.0,16,21,8,0.199
tiny,eat_all,ucs,-,True,7,7.0,58,79,23,0.884
tiny,eat_all,greedy,farthest_food,True,7,7.0,12,20,10,0.22
tiny,eat_all,astar,farthest_food,True,7,7.0,20,33,15,0.323
small,path_to_farthest,bfs,-,True,14,14.0,23,23,3,0.239
small,path_to_farthest,dfs,-,True,14,14.0,23,23,3,0.229
small,path_to_farthest,ucs,-,True,14,14.0,24,23,3,0.241
small,path_to_farthest,greedy,manhattan,True,18,18.0,20,21,3,0.208
small,path_to_farthest,astar,manhattan,True,14,14.0,24,23,3,0.314
small,eat_all,bfs,-,True,28,28.0,5273,5818,546,57.553
small,eat_all,dfs,-,True,36,36.0,100,119,21,0.897
small,eat_all,ucs,-,True,28,28.0,5819,6301,546,67.537
small,eat_all,greedy,farthest_food,True,28,28.0,1304,1491,189,21.291
small,eat_all,astar,farthest_food,True,28,28.0,2666,3198,514,43.085
